"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"COL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-3.87094314105059,
"COL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-7.59088463814538,
"COL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",2.12620769439971,
"COL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-66.637824,
"EST","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",32.216335272019,
"EST","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",19.2942385066792,
"EST","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-19.0300450382514,
"EST","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",1.33327641671463,
"EST","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-22.5428927345234,
"EST","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-36,
"ISR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",2.03673454075091,
"ISR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-3.85542547424601,
"ISR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-0.314474410479964,
"ISR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",7.54528275921674,
"ISR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-17.3463563093353,
"ISR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-56.953279,
"LTU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",6.79051004622049,
"LTU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",9.51409347167491,
"LTU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",9.28254194730227,
"LTU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-2.00307427587717,
"LTU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-6.36034800252603,
"LTU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-56.0621252983757,
